id,Timestamp,Station,Temperature,Humidity
328,2002-01-07 21:00,Changi,26.00,88.75
329,2002-01-07 21:30,Changi,26.00,88.75
330,2002-01-07 22:00,Changi,26.00,88.75
331,2002-01-07 22:30,Changi,26.00,88.75
332,2002-01-07 23:00,Changi,26.00,88.75
333,2002-01-07 23:30,Changi,26.00,88.75
334,2002-01-08 00:00,Changi,26.00,88.75
335,2002-01-08 00:30,Changi,26.00,88.75
336,2002-01-08 01:00,Changi,26.00,88.75
337,2002-01-08 01:30,Changi,26.00,88.75
338,2002-01-08 02:00,Changi,26.00,94.23
339,2002-01-08 02:30,Changi,26.00,88.75
340,2002-01-08 03:00,Changi,26.00,88.75
341,2002-01-08 03:30,Changi,26.00,88.75
342,2002-01-08 04:00,Changi,26.00,88.75
343,2002-01-08 04:30,Changi,26.00,88.75
344,2002-01-08 05:00,Changi,26.00,88.75
345,2002-01-08 05:30,Changi,26.00,88.75
346,2002-01-08 06:00,Changi,26.00,88.75
347,2002-01-08 06:30,Changi,26.00,88.75
348,2002-01-08 07:00,Changi,26.00,88.75
349,2002-01-08 07:30,Changi,26.00,88.75
350,2002-01-08 08:00,Changi,26.00,88.75
351,2002-01-08 08:30,Changi,26.00,88.75
352,2002-01-08 09:00,Changi,27.00,83.66
353,2002-01-08 09:30,Changi,27.00,83.66
354,2002-01-08 10:00,Changi,27.00,83.66
355,2002-01-08 10:30,Changi,26.00,94.23
356,2002-01-08 11:00,Changi,27.00,88.83
357,2002-01-08 11:30,Changi,29.00,79.04
358,2002-01-08 12:00,Changi,29.00,74.44
359,2002-01-08 12:30,Changi,29.00,74.44
360,2002-01-08 13:00,Changi,29.00,74.44
361,2002-01-08 13:30,Changi,29.00,74.44
362,2002-01-08 14:00,Changi,30.00,70.27
363,2002-01-08 14:30,Changi,29.00,79.04
364,2002-01-08 15:00,Changi,29.00,79.04
365,2002-01-08 15:30,Changi,27.00,83.66
366,2002-01-08 16:00,Changi,28.00,83.77
367,2002-01-08 16:30,Changi,27.00,88.83
368,2002-01-08 17:00,Changi,27.00,83.66
369,2002-01-08 17:30,Changi,27.00,83.66
370,2002-01-08 18:00,Changi,27.00,83.66
371,2002-01-08 18:30,Changi,27.00,83.66
372,2002-01-08 19:00,Changi,27.00,83.66
373,2002-01-08 19:30,Changi,26.00,88.75
374,2002-01-08 20:00,Changi,26.00,88.75
375,2002-01-08 20:30,Changi,26.00,88.75
376,2002-01-08 21:00,Changi,26.00,88.75
377,2002-01-08 21:30,Changi,26.00,88.75
378,2002-01-08 22:00,Changi,26.00,88.75
379,2002-01-08 22:30,Changi,26.00,88.75
380,2002-01-08 23:00,Changi,25.00,94.19
381,2002-01-08 23:30,Changi,25.00,88.67
382,2002-01-09 00:00,Changi,25.00,94.19
383,2002-01-09 00:30,Changi,25.00,94.19
384,2002-01-09 01:00,Changi,25.00,94.19
385,2002-01-09 01:30,Changi,25.00,94.19
386,2002-01-09 02:00,Changi,25.00,94.19
387,2002-01-09 02:30,Changi,25.00,94.19
388,2002-01-09 03:00,Changi,25.00,94.19
389,2002-01-09 03:30,Changi,25.00,94.19
390,2002-01-09 04:00,Changi,25.00,94.19
391,2002-01-09 04:30,Changi,25.00,94.19
392,2002-01-09 05:00,Changi,25.00,94.19
393,2002-01-09 05:30,Changi,25.00,94.19
394,2002-01-09 06:00,Changi,25.00,94.19
395,2002-01-09 06:30,Changi,25.00,94.19
396,2002-01-09 07:00,Changi,25.00,94.19
397,2002-01-09 07:30,Changi,25.00,94.19
398,2002-01-09 08:00,Changi,26.00,88.75
399,2002-01-09 08:30,Changi,26.00,88.75
400,2002-01-09 09:00,Changi,27.00,83.66
401,2002-01-09 09:30,Changi,27.00,83.66
402,2002-01-09 10:00,Changi,28.00,78.90
403,2002-01-09 10:30,Changi,27.00,88.83
404,2002-01-09 11:00,Changi,27.00,88.83
405,2002-01-09 11:30,Changi,28.00,78.90
406,2002-01-09 12:00,Changi,28.00,78.90
407,2002-01-09 13:00,Changi,29.00,79.04
408,2002-01-09 13:30,Changi,30.00,70.27
409,2002-01-09 14:00,Changi,29.00,74.44
410,2002-01-09 14:30,Changi,27.00,83.66
411,2002-01-09 15:00,Changi,28.00,78.90
412,2002-01-09 15:30,Changi,29.00,74.44
413,2002-01-09 16:00,Changi,28.00,78.90
414,2002-01-09 16:30,Changi,29.00,74.44
415,2002-01-09 17:00,Changi,27.00,88.83
416,2002-01-09 17:30,Changi,27.00,83.66
417,2002-01-09 18:00,Changi,27.00,83.66
418,2002-01-09 18:30,Changi,27.00,83.66
419,2002-01-09 19:00,Changi,27.00,83.66
420,2002-01-09 19:30,Changi,26.00,88.75
421,2002-01-09 20:00,Changi,26.00,88.75
422,2002-01-09 20:30,Changi,26.00,88.75
423,2002-01-09 21:00,Changi,26.00,88.75
424,2002-01-09 21:30,Changi,25.00,94.19
425,2002-01-09 22:00,Changi,25.00,94.19
426,2002-01-09 22:30,Changi,25.00,94.19
427,2002-01-09 23:00,Changi,25.00,94.19
428,2002-01-09 23:30,Changi,25.00,94.19
429,2002-01-10 00:00,Changi,25.00,94.19
430,2002-01-10 00:30,Changi,25.00,94.19
431,2002-01-10 01:00,Changi,25.00,94.19
432,2002-01-10 01:30,Changi,25.00,100.00
433,2002-01-10 02:00,Changi,25.00,94.19
434,2002-01-10 02:30,Changi,25.00,94.19
435,2002-01-10 03:00,Changi,25.00,94.19
436,2002-01-10 03:30,Changi,25.00,94.19
437,2002-01-10 04:00,Changi,25.00,94.19
438,2002-01-10 04:30,Changi,25.00,94.19
439,2002-01-10 05:00,Changi,25.00,94.19
440,2002-01-10 05:30,Changi,24.00,100.00
441,2002-01-10 06:00,Changi,24.00,100.00
442,2002-01-10 06:30,Changi,25.00,94.19
443,2002-01-10 07:00,Changi,25.00,94.19
444,2002-01-10 07:30,Changi,25.00,94.19
445,2002-01-10 08:00,Changi,25.00,94.19
446,2002-01-10 08:30,Changi,25.00,94.19
447,2002-01-10 09:00,Changi,25.00,94.19
448,2002-01-10 09:30,Changi,26.00,94.23
449,2002-01-10 10:00,Changi,27.00,88.83
450,2002-01-10 10:30,Changi,28.00,83.77
451,2002-01-10 11:00,Changi,28.00,83.77
452,2002-01-10 11:30,Changi,28.00,78.90
453,2002-01-10 12:00,Changi,29.00,74.44
454,2002-01-10 12:30,Changi,29.00,74.44
455,2002-01-10 13:00,Changi,30.00,74.61
456,2002-01-10 13:30,Changi,30.00,74.61
457,2002-01-10 14:00,Changi,30.00,70.27
458,2002-01-10 14:30,Changi,28.00,78.90
459,2002-01-10 15:00,Changi,29.00,74.44
460,2002-01-10 15:30,Changi,30.00,70.27
461,2002-01-10 16:00,Changi,28.00,74.28
462,2002-01-10 16:30,Changi,29.00,74.44
463,2002-01-10 17:00,Changi,29.00,74.44
464,2002-01-10 17:30,Changi,28.00,78.90
465,2002-01-10 18:00,Changi,25.00,94.19
466,2002-01-10 18:30,Changi,26.00,94.23
467,2002-01-10 19:00,Changi,26.00,94.23
468,2002-01-10 19:30,Changi,26.00,88.75
469,2002-01-10 20:00,Changi,26.00,88.75
470,2002-01-10 20:30,Changi,26.00,94.23
471,2002-01-10 21:00,Changi,26.00,88.75
472,2002-01-10 21:30,Changi,26.00,88.75
473,2002-01-10 22:00,Changi,26.00,88.75
474,2002-01-10 22:30,Changi,26.00,94.23
475,2002-01-10 23:00,Changi,26.00,88.75
476,2002-01-10 23:30,Changi,26.00,88.75
477,2002-01-11 00:00,Changi,26.00,88.75
478,2002-01-11 00:30,Changi,26.00,88.75
479,2002-01-11 01:00,Changi,26.00,88.75
480,2002-01-11 01:30,Changi,26.00,88.75
481,2002-01-11 02:00,Changi,26.00,88.75
482,2002-01-11 02:30,Changi,26.00,88.75
483,2002-01-11 03:00,Changi,26.00,88.75
484,2002-01-11 03:30,Changi,26.00,88.75
485,2002-01-11 04:00,Changi,26.00,88.75
486,2002-01-11 04:30,Changi,26.00,88.75
487,2002-01-11 05:00,Changi,25.00,94.19
488,2002-01-11 05:30,Changi,25.00,94.19
489,2002-01-11 06:00,Changi,25.00,94.19
490,2002-01-11 06:30,Changi,25.00,94.19
491,2002-01-11 07:00,Changi,25.00,94.19
492,2002-01-11 07:30,Changi,25.00,94.19
493,2002-01-11 08:00,Changi,25.00,94.19
494,2002-01-11 08:30,Changi,26.00,94.23
495,2002-01-11 09:00,Changi,27.00,88.83
496,2002-01-11 09:30,Changi,28.00,83.77
497,2002-01-11 10:00,Changi,28.00,83.77
